,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,description,mls,type,full_link,full_address,lat,long,city_district
10,"101 Greenock Ave, Toronto (E4807927) | Zoocasa",777000,"$798,600",3,2,N/A sq. ft.,3,"Fantastic Opportunity For A Lovingly Cherished Home! Same Owner For 42 Years! Charming Bungalow W/ Sunny Spacious Yard! No Neighbours Behind! Great Location! Near All Amenities: School, Ttc, Shops, Hospital & More! Separate Entrance To Finished Bsmt W/3 Pc Bath! Rec Room Can Easily Convert To A Bedroom! Lots Of Potential To Make This Your Next Home!",E4807927,Detached,https://www.zoocasa.com/toronto-on-real-estate/6960309-101-greenock-ave-toronto-on-m1g3a2-vow,"101 Greenock Ave, Toronto , Ontario, Canada",43.776343,-79.21623439999999,
11,"27 Tiverton Ave, Toronto (E4804830) | Zoocasa",1402800,"$1,195,000",3,3,N/A sq. ft.,2,"Let Your South Riverdale Dreams Come True! Set On One Of The Only Dead-End Streets In The Neighbourhood, This Completely Renovated 3br, 3 Bath Home Is Set To Impress! Pretty Foyer Entry Overlooks Large Living Room W/ Wallpaper Feature. Dramatic Open-Concept Kitchen/Dining/Family Rm At Rear Is The Hub Of Family Living. Centre Island, Stainless Appliances, Skylight Features And New Hardwood. Walk-Out To Newly Landscaped Gardens And Two-Car Parking!",E4804830,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6952427-27-tiverton-ave-toronto-on-m4m2m1-vow,"27 Tiverton Ave, Toronto , Ontario, Canada",43.6645987,-79.3451223,
12,"80 Horsham Ave, Toronto (C4804342) | Zoocasa",2198000,"$2,198,000",4,6,2500–3000 sq. ft.,6,"Recently Built Contemporary 4 Bedroom Residence With Soaring Ceilings Throughout, And Oversized Windows Across The Rear Of The Property. Built For A Large Family, There Is A Separate Entrance To A Self-Contained In-Law Suite.",C4804342,Detached,https://www.zoocasa.com/toronto-on-real-estate/6950435-80-horsham-ave-toronto-on-m2n1z7-vow,"80 Horsham Ave, Toronto , Ontario, Canada",43.7740437,-79.4182968,
13,"904 - 10 Delisle Ave, Toronto (C4804009) | Zoocasa",1395000,"$1,395,000",2,2,1200–1399 sq. ft.,1,"Rarely Available! Right Out Of Architectural Digest. 2 Br Plus Den, Complete High-End Reno To The Studs. New Flat Ceilings, 7 Inch Plank Hardwood, Solid Wood Doors, Baseboards, Crown Moulding And Custom Millwork Throughout. Gourmet Kitchen Open To Living And Dining With Custom Built-In Cabinets And Bar. Master Features W/I Closet And A Lavish 5 Pc Ensuite W/ Soaker Tub And Glass Shower And W/O To Balcony. Incl Parking And Locker. Over 200k Reno And Upgrades.",C4804009,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6950049-904-10-delisle-ave-toronto-on-m4v3c6-vow," 10 Delisle Ave, Toronto , Ontario, Canada",43.6891842,-79.3952066,
14,"201 - 580 Kingston Rd, Toronto (E4800436) | Zoocasa",840000,"$840,000",2,2,800–899 sq. ft.,1,"Wow! Panoramic View Of Ravine. Unwind After A Long Day On Wrap-Around 139sqft Terrace, Enjoy The Sunset, & Bbq Year-Round, Gas Bbq Hookup.Boutique Condo Living In The Beach. Open Concept Living/Dining Perfect For Entertaining. Bright Gourmet Kitchen, Gas Stove, Quartz Counters, Ss Appliances, Picture Window Overlooks Ravine. Downtown In Mins, Transit, Walk To Glen Stewart Ravine Path And Beach/Boardwalk. Buyer To Verify All Msrmnts Tax.",E4800436,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6940399-201-580-kingston-rd-toronto-on-m4e1p9-vow," 580 Kingston Rd, Toronto , Ontario, Canada",43.67861569999999,-79.3003342,
15,"4210 - 10 York St, Toronto (C4780966) | Zoocasa",1578000,"$1,599,900",2,3,1200–1399 sq. ft.,1,"Southwest Corner Suite At Tridels Ten York.  Spectacular Views In This Custom 2 Bedroom, 2.5 Bathroom Suite . Over 1300 Sq. Ft. Upgraded With Downsview Built Ins, Led Pot Lights, Automated Blinds Throughout. Two Master Bedrooms Which Fits King Size Beds And Each Bedroom Has Its Own En-Suite.  Original Design Was A 3 Bedroom,  Now  Functional Large 2 Bedrooms With  Great Space For Living. Enjoy Cn Tower, Lake And Sunset",C4780966,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6893201-4210-10-york-st-toronto-on-m5j2l9-vow," 10 York St, Toronto , Ontario, Canada",43.64109759999999,-79.38122469999999,
16,"1009 - 50 Ann O'reilly Rd, Toronto (C4780901) | Zoocasa",570000,"$599,000",1,2,600–699 sq. ft.,1,"High Demand Area In North York, Minutes To Subway, Hwy 404, Shopping Center.",C4780901,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6893191-1009-50-ann-oreilly-rd-toronto-on-m2j1w8-vow," 50 Ann O'reilly Rd, Toronto , Ontario, Canada",43.77463300000001,-79.32998909999999,
17,"307 - 717 Eglinton Ave W, Toronto (C4772525) | Zoocasa",575000,"$595,000",1,1,700–799 sq. ft.,1,"Fabulous Art-Deco Building In Forest Hill. Suite Has Been Totally Reno'D Including Wiring, Electric Panel, Walls/Ceilings, Plumbing, Bathroom, Kitchen, Floors. Spacious South Facing Open Concept Layout With Custom Millwork Closets/Built-Ins Throughout. Large Master Bedroom, Gr8 Closet Space. Very Walkable/Bikeable, Excellent Transit. Lrt, Shopping, Restaurants, Library, Parks, Ravine, Etc. Just Outside Your Door. Nb: Taxes Included In Maintenance Fee.",C4772525,Co-Ownership Apt,https://www.zoocasa.com/toronto-on-real-estate/6869031-307-717-eglinton-ave-w-toronto-on-m5n1c9-vow," 717 Eglinton Ave W, Toronto , Ontario, Canada",43.7015199,-79.4217061,
18,"90 North Woodrow Blvd, Toronto (E4811438) | Zoocasa",785000,"$789,900",2,2,N/A sq. ft.,3,"Corner Lot 40*111ft Bungalow W/ 2 Bdr & Fin Basmt. Excellent Landscape. Move In Condition. Main Fl Has New Flooring, New Windows And New Front Entrance Door. New Appliances. Both Kitchens & Washrooms Renovated. Kitch Granite Counter Top. New Custom Made 10*10 Shed Plus 2 More Storage. Fully Fence Prop. Parking 3 Space At Rear. Close To Warden Station. Perfect Home For Small Family.",E4811438,Detached,https://www.zoocasa.com/toronto-on-real-estate/6968988-90-n-woodrow-blvd-toronto-on-m1k1w6-vow,"90 North Woodrow Blvd, Toronto , Ontario, Canada",43.7119197,-79.2655308,
19,"604 - 2240 Lake Shore Blvd W, Toronto (W4807813) | Zoocasa",660000,"$599,900",2,2,800–899 sq. ft.,1,"**Gorgeous 2 Bed, 2 Bath Corner Unit With Huge 2side Wrap Around Terrace** Flooded With Natural Light, Spectacular City Cn Tower And Water Views**Parking +Locker**This Beautifully Updated Condo Has Floor To Ceiling Windows Throughout The Open Concept Living Area, 2 Walkouts To Terrace To Enjoy The View**Granite Counters, Stainless Steel Appliances, New Fridge Newer Carpet, Ttc, Shopping And Humber Bay Waterfront Trails Are Just Steps Outside Your Door.",W4807813,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6960373-604-2240-lake-shore-blvd-w-toronto-on-m8v0b1-vow," 2240 Lake Shore Blvd W, Toronto , Ontario, Canada",43.6210637,-79.4833203,
20,"713 - 399 Adelaide St W, Toronto (C4805520) | Zoocasa",735000,"$735,000",1,1,700–799 sq. ft.,1,"Luxe Living In The Heart Of King West! With Concrete 10 Foot Ceilings, Unobstructed Views Over The Quadrangle & Red Brick Heritage Buildings To The South, This Beautifully Appointed 771 Sq Ft (Per Builder'S Plans) Suite Boasts $$$ In Upgrades W/ Engineered Hardwood, Luxury Lighting, Closet Customized By California Closets Inc Murphy Bed/Cabinetry In The +1/Den Space. Enjoy Bbq'Ing From The 16 Ft Balcony. Pack Your Work & Covid Puppy, We'Ve Got Your New Home!",C4805520,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6954771-713-399-adelaide-st-w-toronto-on-m5v1s1-vow," 399 Adelaide St W, Toronto , Ontario, Canada",43.6461884,-79.39723579999999,
21,"81 Rusholme Rd, Toronto (C4804872) | Zoocasa",1661000,"$1,329,000",3,2,N/A sq. ft.,1,"A Very Special Home On A Very Special Street In A Very Special Neighbourhood. This Charming Detached Home Boasts A Super Stylish Interior With The Perfect Blend Of Original Features (Stained Glass Windows, Crown Moulding, Gumwood Trim & Wainscoting) And A Contemporary Reno (2013). Beautiful Perennial Gardens In Both The Front & Backyard Create The Ideal Setting For Lounging. Complete With A Spacious Detached Garage Built In 2016 Accessed Via Rear Lane.",C4804872,Detached,https://www.zoocasa.com/toronto-on-real-estate/6952423-81-rusholme-rd-toronto-on-m6j3h7-vow,"81 Rusholme Rd, Toronto , Ontario, Canada",43.65192769999999,-79.427466,
22,"3 Endwood Rd, Toronto (W4804557) | Zoocasa",1212000,"$1,099,000",3,2,N/A sq. ft.,3,"Beautifully Renovated Raised Bungalow In Family-Friendly, Sought-After Etobicoke. Modern Open Concept Main Floor. Gourmet Kitchen With High-End Appliances. Pull-Out Spice Rack. Large Island. Private Backyard Oasis. Custom Cabinet & Vanity In Bathroom. Bright & Modern Lower Level With 7 Foot Ceiling & Large Windows. Renovated Laundry Room. Close To School With Fi & Gifted Program. Plenty Of Room For Home Office. Quiet Street Close To Park & Schools.",W4804557,Detached,https://www.zoocasa.com/toronto-on-real-estate/6952141-3-endwood-rd-toronto-on-m9c3e1-vow,"3 Endwood Rd, Toronto , Ontario, Canada",43.6469652,-79.5749841,
23,"15 Shortland Cres, Toronto (W4802893) | Zoocasa",1225000,"$1,295,500",3,4,1500–2000 sq. ft.,6,"Gracious 3-Bedroom, 3-Bath Home On Large Pie-Shaped Lot In Demand Neighbourhood. Sizable And Welcoming Principal Rooms; Sunny Eat-In Kitchen, Living Room With Cozy Fireplace & Walk-Out To Large Private Garden With Mature Landscaping, Private Patio And  Gazebo. Spacious Ground Level Family Room Overlooks Garden.  Separate Side Entry. Huge Entertainment-Sized Recreation Room With Wood Burning Fireplace. Loads Of Storage!  Complete With Double Garage.",W4802893,Detached,https://www.zoocasa.com/toronto-on-real-estate/6946682-15-shortland-cres-toronto-on-m9r2t2-vow,"15 Shortland Cres, Toronto , Ontario, Canada",43.6851779,-79.5454381,
24,"501 - 707 Eglinton Ave W, Toronto (C4802652) | Zoocasa",440000,"$465,000",2,1,1000–1199 sq. ft.,0,"Rare Unit In The Art Deco Roycroft Building In Prime Forest Hill. Easily Converted Back To A Wonderful 2-Bedroom Unit.The Meticulously Maintained Tiered Building Allows For No Units Directly Above The Unit Or To The North, East And South. Sunlight Pours In! Quiet Pet Friendly Building Just Steps To The Trendy Shops And Restaurants Of Eglinton As Well As The Lrt. Forest Hill School District.Incredible Opportunity!",C4802652,Co-Ownership Apt,https://www.zoocasa.com/toronto-on-real-estate/6946459-501-707-eglinton-ave-w-toronto-on-m5n1c9-vow," 707 Eglinton Ave W, Toronto , Ontario, Canada",43.7016607,-79.421014,
25,"620 - 233 Carlaw Ave, Toronto (E4802204) | Zoocasa",780000,"$659,000",1,1,700–799 sq. ft.,1,"Rare South-Facing Unit At The Garment Factory Lofts!  Exposed Nine-Foot Concrete Ceilings Run Throughout This Very Cool Hard Loft Unit In This Demand Leslieville Location.  Open Concept Floor Plan With Sight Lines To The Large Balcony That Spans The Entire Length Of The Unit. Kitchen W/ Granite Countertops & Stainless Appliances, Large Dining Room Space For Entertaining, And Functional Living Room Design To Accommodate Non-Condo Sized Furniture!",E4802204,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6945820-620-233-carlaw-ave-toronto-on-m4m3n6-vow," 233 Carlaw Ave, Toronto , Ontario, Canada",43.6630997,-79.3403069,
26,"11 - 89 Lillian St, Toronto (C4796676) | Zoocasa",530000,"$549,000",1,1,600–699 sq. ft.,1,"Top 8 Reasons You Will Love This Home! 1) Location- Fabulous Midtown!  2) Peaceful, Well Maintained Complex!  3) Excellent Floor Plan, All On One Level! 4) Cozy Gas Fireplace!  5) You Can Bbq On Large Terrace And Also Enjoy A Juliet Balcony Off Master!  6) One Owned Underground Parking Space ! 7) Self Serve Car Wash, Visitor Parking And Pet Friendly! 8) Score 95- Walker'S Paradise! 2 Blocks To Yonge/Eglinton Subway!",C4796676,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6931985-11-89-lillian-st-toronto-on-m4s2h7-vow," 89 Lillian St, Toronto , Ontario, Canada",43.70683380000001,-79.39368139999999,
27,"118 - 20 Southport St, Toronto (W4795019) | Zoocasa",639800,"$639,800",2,2,1000–1199 sq. ft.,2,"With More Than 1100 Sq. Ft. Of Luxury Living Space,This Rare Gem Of A Condo Is Located In The Beautiful South Kingsway Village! Gorgeous Hardwood Flrs, Bright Large Living Rm Space, Formal Dining Rm, Spacious Master Bdrm W/ Ensuite Bath. Huge Second Bdrm! W/Tons Of Natural Light, Den Can Be Used As A 3rd Bdrm Or Office! 2 Full Bathrooms. Perfect For Young Families Or Downsizers! 2 Prkg Spaces, Massive Locker. Steps To High Park/Bloor West/The Lake & Transit!",W4795019,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6927135-118-20-southport-st-toronto-on-m6s4y8-vow," 20 Southport St, Toronto , Ontario, Canada",43.6374036,-79.472125,
28,"12 Kirk Bradden Rd W, Toronto (W4791403) | Zoocasa",1825000,"$1,879,000",3,4,N/A sq. ft.,3,"The Top 5 Reasons You'Ll Love This Home: 1) The Floor Plan Flexibility - Have A Huge Dining Room Or Easily Divide And Create A Main Floor Office 2) The Chef'S Kitchen With A 5 Burner, Double Oven And Loads Of Storage And Prep Space 3) The Bright And Airy Open Concept Family Room With A 2-Way Gas Fireplace 4) You Can Practice Your Putting In The Comfort Of Your Own Back Yard! 5) It'S Centrally Located In The Heart Of Sunnylea Just Steps To Great Schools.",W4791403,Detached,https://www.zoocasa.com/toronto-on-real-estate/6918201-12-kirk-bradden-rd-w-toronto-on-m8y2e9-vow,"12 Kirk Bradden Rd W, Toronto , Ontario, Canada",43.63877100000001,-79.5026166,
29,"56 - 60 Winston Park Blvd, Toronto (W4785170) | Zoocasa",625000,"$656,900",2,2,900–999 sq. ft.,1,"This Two-Bedroom, Two Full Bath Is A Must Visit In North York. The Unit Is A Beautiful Brand New Townhouse/Condo, Located Minutes Away From Yorkdale Mall And Other Major Shopping (Costco, Home Depot, Bestbuy, Lcbo). Located Right Off Wilson Avenue, This Unit Faces A Quieter Street(Winston Park Blvd), Providing Peace And Privacy. The Unit Has Windows Throughout, And A Private, Non-Shared Large Balcony. Other Features Include A Full Kitchen Island/Kitchen Bar,",W4785170,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6902960-56-60-winston-park-blvd-toronto-on-m3k1e6-vow," 60 Winston Park Blvd, Toronto , Ontario, Canada",43.7301779,-79.4655177,
30,"325 Warren Rd, Toronto (C4783120) | Zoocasa",2675000,"$2,799,000",4,5,3000–3500 sq. ft.,4,"Prime Chaplin Estates/S Forest Hill Loc. On A Beautiful, Private Lot. Quiet Location Yet Steps To Eglinton Way Shops, New Lrt Station & Belt Line. Stunning Main Fl With Generously Sized Principal Rooms. Open Concept Kitchen/Dining/Family Rm W/ Multiple French Doors W/O To Lush, Landscaped Patio & Garden. Perfect For Living And Entertaining. Lux Master W/Spa Like Ensuite, Built-Ins & Priv Blcny. Lg 3rd Fl W/3 Pc Bath, Double Car Parking. Oriole Pk & Fh Elem.",C4783120,Detached,https://www.zoocasa.com/toronto-on-real-estate/6898889-325-warren-rd-toronto-on-m5p2m7-vow,"325 Warren Rd, Toronto , Ontario, Canada",43.7026373,-79.41380180000002,
31,"4102 - 955 Bay St, Toronto (C4763301) | Zoocasa",1625000,"$1,699,000",3,2,1000–1199 sq. ft.,1,"Executive Suites Three Bedrooms (1190sqft) & Extremely Large Wrap Around Balcony In The Luxury Britt Condo.Located At Most Desirable  And Prestigious ( Heart Of ) Downtown Toronto , Step To  Wellesley Subway Station,University Of Toronto ,Bloor St, Yorkville...Explore S/E Overlooking Unobstructed Lake And Cn Tower Views",C4763301,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6846846-4102-955-bay-toronto-on-m5s2a2-vow," 955 Bay St, Toronto , Ontario, Canada",43.6647827,-79.3869931,
32,"126 Millicent St, Toronto (W4806731) | Zoocasa",1520000,"$1,199,000",5,2,N/A sq. ft.,2,"Picture Perfect In Wallace Emerson! Adorable 2-1/2 Storey Home That We Know You'Re Going To Love. Five Bedrooms, Hardwood Floors, Beautiful Bay Windows, Original Character Throughout, A Cozy Living Room With A Decorative Fireplace, A Large Kitchen With Stainless-Steel Appliances And A Breakfast Room, And A Rear Mudroom That Walks Out To A Private Fenced Yard. Two Car Detached Garage! Moments Away From Transit, Shops, Restaurants, Parks And Schools.",W4806731,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6957735-126-millicent-st-toronto-on-m6h1w4-vow,"126 Millicent St, Toronto , Ontario, Canada",43.6648475,-79.4422922,
33,"1216 - 33 Harbour Sq, Toronto (C4808925) | Zoocasa",812000,"$749,000",1,1,1000–1199 sq. ft.,1,"Location! Location! Location! Large One Bedroom, 2-Storey Floor Plan. Approx 1050 S.F With Fantastic Unobstructed South Lake Views. Floor-To-Ceiling Windows Make Spectacular Use Of The Gloriously Lavish Natural Light. Functional Layout, Ensuite Laundry Possible, Resort Style Amenities Includes 24Hr Security, Saltwater Indoor Pool, Gym, Garden With Bbq, Squash Court, Library, Guest Suites And Much More!!",C4808925,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6962377-1216-33-harbour-sq-toronto-on-m5j2g4-vow," 33 Harbour Sq, Toronto , Ontario, Canada",43.6399033,-79.3771893,
34,"15 Quietbrook Cres, Toronto (E4806802) | Zoocasa",980000,"$989,000",4,3,2000–2500 sq. ft.,4,"Excellent Location,Family Friendly Neighbourhood, Great Opportunity To Own This Spacious & Beautiful 4 Bdrm. 3 Washroom,Double Garage, Detached Home, Backing Onto Treed Lot, Freshly Painted Throughout The House, Open Concept Living Room With Gas Fireplace, Ceramic & Hardwood Floors Through Out Main & Upper Floors,Hardwood Stair Case, New  S/S Kitchen Appliances, Eat-In-Kitchen With Walkout To Backyard,Close To Public Transit, Schools, Park,Golf Course & Shops",E4806802,Detached,https://www.zoocasa.com/toronto-on-real-estate/6957646-15-quietbrook-cres-toronto-on-m1x2b3-vow,"15 Quietbrook Cres, Toronto , Ontario, Canada",43.8368486,-79.2328457,
35,"2059 - 75 George Appleton Way, Toronto (W4803457) | Zoocasa",695000,"$699,900",3,2,1000–1199 sq. ft.,2,"The Nicest Townhouse Unit In The Entire Complex! Very Spacious 1,166 Sq.Feet, Completely Renovated From Top To Bottom Corner Unit, 3 Beds, 2 Baths, 2nd Flr Loft That Can Be Converted Into 4th Bed, Open Concept Main Floor, Hardwood Flrs Throughout, Kitchen W/ Granite & Stainless Appliances, California Shutters, Lots Of Windows & Natural Light, Electric Fireplace, Ensuite Laundry, 1 Balcony On 1st Flr & Huge 2nd Flr Balcony, 1 Locker, Very Rare 2 Parking Spots!",W4803457,Condo Townhouse,https://www.zoocasa.com/toronto-on-real-estate/6948219-2059-75-george-appleton-way-toronto-on-m3m0a2-vow," 75 George Appleton Way, Toronto , Ontario, Canada",43.7249225,-79.4792101,
36,"411 - 62 Forest Manor Rd, Toronto (C4803463) | Zoocasa",530000,"$539,900",1,1,500–599 sq. ft.,1,"Welcome To Unit 411 In The Gorgeous Dream Tower At Emerald City Condos! 1 Bed, 1 Bath, 1 Parking, 1 Locker, Open Concept Floor Plan (540sqft+105 Balcony)! 9 Ft Ceilings, Wide Plank Laminate Flrs, Upgraded Kitchen W/ Granite, Stainless Appliances & Large Breakfast Bar! Large Balcony W/ Breathtaking Views! En-Suite Laundry, Closets W/ Organizers, Ttc Subway Access Directly From The Building! Very Well Maintained & Cared For Building W/ Amazing Amenities!",C4803463,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6948211-411-62-forest-manor-rd-toronto-on-m2j0b6-vow," 62 Forest Manor Rd, Toronto , Ontario, Canada",43.7739223,-79.345726,
